time,body1,body2,numContacts,cpx_avg,cpy_avg,cpz_avg,cnx_avg,cny_avg,cnz_avg,fx_avg,fy_avg,fz_avg,mx_avg,my_avg,mz_avg
3.77,Terrain0,hrp2[RLEG_JOINT5],11,-0.282045510177,-0.0758461309306,-7.5946777437e-05,-3.47784344542e-15,5.81681910363e-16,-1.0,85.2397345448,29.6458256969,344.528779723,-0.00135143290178,-0.000362775579422,-2.55015119315
3.77,Terrain0,hrp2[LLEG_JOINT5],10,0.216310728255,0.137543573723,-3.56859146778e-05,0.0,0.0,-1.0,-84.5173309392,-27.6934787427,203.931938233,0.000452918715517,6.94239146597e-05,-3.82243128165
3.79,Terrain0,hrp2[RLEG_JOINT5],11,-0.262318841686,-0.0879508270663,-8.4547220711e-05,3.72053773438e-15,-3.42984403703e-17,-1.0,85.2101271906,29.6844246108,350.208704826,-0.00142635121102,-0.000531147334959,-2.68126785996
3.79,Terrain0,hrp2[LLEG_JOINT5],10,0.216676593375,0.123746733259,-2.8525478757e-05,4.5298929998e-15,-1.16679158489e-15,-1.0,-83.0499772023,-27.6671572315,205.09698854,0.000334315153918,-1.42433790935e-05,-3.69357308712
3.81,Terrain0,hrp2[RLEG_JOINT5],11,-0.302488374347,-0.0746162880264,-5.48609031315e-05,-1.14212101077e-15,-7.90332764348e-16,-1.0,87.6299122481,27.7750417653,348.249961673,-0.0010926901143,-0.000362966431752,-2.97090411233
3.81,Terrain0,hrp2[LLEG_JOINT5],10,0.21700307908,0.127763769756,-6.04766356561e-05,4.8651063323e-15,-5.75855131818e-16,-1.0,-92.9833811597,-28.0950568327,209.080073025,0.000940217801768,0.000822141413259,-4.58148883892
3.83,Terrain0,hrp2[RLEG_JOINT5],11,-0.282060608122,-0.0758512146708,-6.41213823994e-05,0.0,-1.32778532405e-15,-1.0,84.8551418589,28.4299789546,348.257191455,-0.000691064629507,-0.000496936945249,-2.7759186283
3.83,Terrain0,hrp2[LLEG_JOINT5],10,0.172829011916,0.142608069841,-7.33141754212e-05,1.19104035391e-15,-5.80636646408e-16,-1.0,-82.4241975983,-27.1563414076,205.387922454,0.00105193200466,0.00049201655554,-3.74996050736
3.85,Terrain0,hrp2[RLEG_JOINT5],12,-0.308861156597,-0.0707151090087,-4.61889257245e-05,-1.02923669758e-15,4.82531266363e-16,-1.0,86.8005021926,28.1963872405,353.06796927,-0.000460041454357,-0.000514215402338,-2.67259303768
3.85,Terrain0,hrp2[LLEG_JOINT5],9,0.152903295639,0.150429650075,-0.000102510776569,8.16931840698e-15,-3.33083601711e-16,-1.0,-83.7519049064,-28.2401451226,205.322248834,0.00142745958627,0.00156502254012,-3.9490334585
3.87,Terrain0,hrp2[RLEG_JOINT5],12,-0.271713314767,-0.0896544315024,-6.22764472193e-05,0.0,3.11041238449e-15,-1.0,84.9476785963,29.4667727517,344.959233167,-0.000782482657793,-0.000593802931253,-2.51662895496
3.87,Terrain0,hrp2[LLEG_JOINT5],9,0.177667957574,0.131202403743,-8.01644515051e-05,0.0,-6.6206808132e-16,-1.0,-82.5357597785,-27.7455273172,201.848077545,0.00105224882812,0.00159871858187,-3.83444841196
3.89,Terrain0,hrp2[RLEG_JOINT5],9,-0.163654337002,-0.0409509638101,-0.000355628504653,-8.71869071251e-15,0.0,-1.0,0.0,0.0,51.0520779367,3.54244952377e-16,0.0,0.0
3.89,Terrain0,hrp2[LLEG_JOINT5],12,0.220166126154,0.127778068499,-7.1207977281e-05,0.0,-5.33838539702e-16,-1.0,0.0,-3.06962825331e-14,286.294488746,5.3290705182e-15,-1.24344978758e-14,1.86186501049e-15
